xg,yg,zg,xa,ya,za,lat,long
329.0,126.0,-337.75,0.4,-20.8,1014.15,ND,ND
68.25,56.0,-346.5,0.15,-20.65,1013.9,ND,ND
213.5,89.25,-339.5,0.2,-19.4,1013.35,ND,ND
222.25,98.0,-341.25,0.25,-20.45,1013.65,ND,ND
166.25,92.75,-343.0,0.2,-19.8,1013.3,ND,ND
222.25,99.75,-329.0,0.25,-20.35,1013.95,ND,ND
175.0,84.0,-344.75,0.2,-18.8,1013.6,ND,ND
229.25,98.0,-344.75,0.4,-21.8,1014.1,ND,ND
31.5,43.75,-353.5,0.2,-20.4,1013.6,ND,ND
409.5,152.25,-325.5,0.15,-19.3,1013.75,ND,ND
120.75,80.5,-339.5,0.15,-20.65,1013.95,ND,ND
208.25,99.75,-346.5,0.15,-20.25,1013.45,ND,ND
178.5,77.0,-336.0,0.1,-20.7,1013.65,ND,ND
229.25,101.5,-343.0,0.35,-19.7,1013.8,ND,ND
194.25,84.0,-336.0,0.35,-20.95,1013.6,ND,ND
189.0,94.5,-343.0,0.1,-19.85,1013.85,ND,ND
222.25,98.0,-334.25,-0.15,-19.65,1013.5,ND,ND
166.25,87.5,-341.25,0.15,-20.3,1013.9,ND,ND
217.0,98.0,-350.0,0.3,-20.15,1013.25,ND,ND
215.25,134.75,-343.0,-2.4,-26.0,1013.2,ND,ND
159.25,136.5,-337.75,-2.9,-26.15,1013.5,ND,ND
189.0,134.75,-330.75,-2.7,-25.85,1013.35,ND,ND
197.75,120.75,-332.5,-2.35,-26.0,1013.2,ND,ND85166666667
196.0,138.25,-339.5,-2.45,-25.7,1012.95,ND,ND
176.75,131.25,-351.75,-2.65,-26.35,1013.55,ND,ND
166.25,122.5,-334.25,-2.4,-26.45,1013.45,ND,ND
213.5,141.75,-341.25,-2.7,-25.7,1013.25,ND,ND
215.25,119.0,-343.0,-2.85,-25.4,1013.5,ND,ND
ND,ND,ND,ND,ND,ND,-3.7445633333333337,-38.57785166666667
141.75,129.5,-341.25,-2.9,-26.2,1013.35,ND,ND
210.0,133.0,-341.25,-2.75,-26.25,1013.2,ND,ND
192.5,136.5,-339.5,-2.5,-26.5,1013.45,ND,ND
187.25,143.5,-339.5,-2.55,-25.45,1013.0,ND,ND
187.25,134.75,-336.0,-2.4,-26.15,1013.4,ND,ND
